Alimento,Cantidad_sugerida,Unidad,Peso_bruto,Peso_neto,Energia,Proteina,Lipidos,Carbohidratos,Fibra,Vitamina_A,Acido_Ascorbico,Acido_Folico,Hierro,Potasio,Calcio,Selenio,Fosforo,Sodio,Colesterol,AG_saturados,AG_monoinsaturados,AG_poliinsaturados,Azucar,IG,CG,Grupo
Chile chipotle seco,2,pieza,10,8,29,1.2,0.5,4.8,0.6,19.3,0,ND,0.5,ND,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Chile costeño,4,pieza,64,54,17,0.9,0.1,3.9,1.1,7,135.5,12.4,1.8,182.8,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Chile cristalino,4,pieza,64,54,20,0.9,0.1,3.9,1.1,3.5,135.5,12.4,1.8,182.8,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Chile cuaresmeño,2,pieza,60,50,16,0.8,0.2,3.7,0.5,4.5,89.7,11.6,2,171.4,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Chile de árcol seco,4,pieza,8,7,21,0.9,0.4,4.3,2.1,70.9,3.7,0,0.3,0,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Chile habanero,5,pieza,80,67,25,1.5,0.5,3.6,1.1,19.8,63.2,15.5,1.6,228.5,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Chile jalapeño,6,pieza,90,78,23,1.1,0.5,4.6,2.2,31.3,34.7,36.8,0.5,168.3,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Chile poblano, 1/2,pieza,40,32,15,0.8,0.2,3.3,0.1,5.1,116.5,7.4,1.1,108.8,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Chiles secos,10,g,10,7,23,0.8,0.7,4.3,0,124.6,5.2,0,0.4,0,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Cilantro picado crudo,2,taza,120,120,28,2.6,0.6,4.4,3.4,404.4,32.4,74.4,2.1,625.2,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Clavito (hongo) crudo,1,taza,75,71,28,4.3,0.4,3.8,1.1,0,3.8,0,1.5,0,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Col cocida picada, 1/2,taza,75,75,17,1,0,4.1,1.4,3,28.1,22.5,0.1,147,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Col cruda picada,2,taza,140,112,27,1.4,0.2,6,2.6,6.7,47,63.8,0.6,275.2,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Col morada cruda picada,1,taza,70,56,17,0.8,0.1,4.1,1.2,31.4,31.9,10.1,0.4,136.1,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Colecita de brucelas cocida,3,pieza,63,63,23,1.6,0.3,4.5,1.6,24.6,39.1,37.8,0.8,199.5,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Coliflor cocida,1,taza,125,125,28,2.3,0.6,5.1,2.9,1.3,55.4,55,0.4,177.4,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Coliflor cruda,2,taza,200,80,20,1.6,0.1,4.2,2,0.8,37.1,45.6,0.4,242.2,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Coliflor verde cocida, 1/2,taza,68,68,22,2.1,0.2,4.2,2.2,4.7,49,27.7,0.5,187.7,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Coliflor verde cruda,2,taza,128,78,24,2.3,0.2,4.8,2.5,6.2,68.8,44.5,0.6,234.2,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Colinabo crudo,90,g,90,66,22,1.1,0.1,4.1,1.4,0.3,40.7,ND,0.3,230,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Corazón de alcachofa crudo,1,pieza,25,25,16,0.6,0,4.1,0.3,3,1.5,18.5,0.2,84.8,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Corazón de lechuga crudo,1,pieza,130,124,12,1.2,0,4.4,1.9,43.2,6.2,67.9,0.6,197.6,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Corazón de palmito crudo,3,pieza,99,99,27,2.4,0.6,4.5,2.4,0,9,39,3.1,174,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Cresón cocido,1,taza,135,135,31,2.6,0.8,5.2,1,313.2,31.1,50,1.1,476.6,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Cresón limpio crudo,2,taza,100,100,32,2.8,0.8,5.6,1.2,346,69,80,1.3,606,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Crucetas crudas,150,g,150,117,21,1.3,0.2,4.3,0.8,25.7,28.1,0,6.8,0,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Cuitlacoche cocido, 1/3,taza,66,66,20,0.8,0.1,4.1,1.2,0,2.6,ND,0.3,ND,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Echalot,1,pieza,40,34,25,0.9,0,5.8,ND,20.6,2.8,11.7,0.4,114.9,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Ejotes cocidos picados, 1/2,taza,63,63,22,1.2,0.2,4.9,2,21.9,6.1,20.6,0.4,91.3,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Elotitos de cambray,8,pieza,64,64,26,2.1,0,4.3,1.8,14,3.9,29.7,0.4,159.2,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Endivia cruda,3,taza,150,129,22,1.6,0.3,4.3,4,139.3,8.4,183.2,1.1,405.1,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Espárragos crudos,6,pieza,90,90,22,2.3,0.3,3.8,2.8,49,10,131,0.7,144,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Espinaca cocida, 1/2,taza,90,90,21,2.7,0.2,3.4,3.2,471.6,8.8,131,3.2,419,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Espinaca cruda picada,2,taza,120,120,28,3.4,0.4,4.4,2.6,562.8,33.7,232.8,3.3,669.6,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Flor de calabaza cocida,1,taza,134,134,20,1.4,0.2,4.4,1.2,116.6,6,54,1.2,142,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Flor de calabaza cruda picada,4,taza,132,132,20,1.2,0,4.4,ND,128,36,76,0.9,228,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Flor de colorín cocida, 1/2,taza,40,40,24,1.8,0.1,4,1,2.6,14.8,ND,1,ND,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Flor de colorín cruda,1,taza,40,40,24,1.8,0.1,4,1,2.6,14.8,ND,1,ND,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Flor de garambullo cruda,50,g,50,50,19,0.4,0.1,4.1,0.4,10.5,20,ND,2.2,ND,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Flor de maguey cruda,60,g,60,60,21,0.5,0.1,4.4,0.4,14.4,35.4,ND,0.5,ND,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Flor de Yuca cruda,75,g,75,75,29,2,0.3,4.5,0.5,0.8,204.8,ND,0.5,ND,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Germen de alfalfa crudo,3,taza,99,99,23,4,0.7,2.1,1.9,7.9,8.1,35.6,1,78,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Germen de lenteja crudo, 1/4,taza,19,19,20,1.7,0.1,4.3,ND,0.4,3.2,19.3,0.6,62,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Germen de soya cocido, 3/4,taza,31,31,25,2.7,1.4,2.1,0.3,0.6,2.6,25.1,0.4,111.3,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Granos de elote crudos,2,cucharada,21,21,18,0.7,0.2,4,0.6,1.9,1.4,9.7,0.1,56.7,0,0,0,0,0,0,0,0,0,54,2.16,Verduras
Haba verde,4,pieza,32,32,23,1.8,0.2,3.7,1.3,5.8,10.6,30.7,0.6,80,0,0,0,0,0,0,0,0,0,55,2.035,Verduras
Hojas de amaranto cocidas,100,g,100,100,21,2.1,0.2,4.1,ND,139,41.1,57,2.3,641,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Hojas de amaranto crudas,6,hojas,84,84,19,2.1,0.3,3.4,ND,122.6,36.4,71.4,1.9,513.2,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Hojas de chicoria crudas,130,g,130,130,26,1.6,0.3,4.4,1.2,133.3,9.1,184.6,1,408.2,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Hojas de diente de león,50,g,50,45,24,1.2,0.3,4.1,0.8,49.1,15.8,ND,1.4,178.7,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Hojas de pata de paloma,30,g,30,25,20,0.8,0.4,4.2,0.4,21.9,11.1,ND,1.5,ND,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Hojas de reomalacha crudas,2,hojas,64,64,14,1.4,0.1,2.8,2.4,202.2,19.2,9.6,1.6,487.7,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Hojas de reomalacha hervidas, 1/2,taza,72,72,19,1.9,0.1,3.9,2.1,603.4,17.9,10.1,1.4,654.5,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Hongo portobello crudo,1,pieza,84,81,21,2,0.2,4.1,1.2,0,0,17.9,0.5,394.4,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Hongo shiitake deshidratado,1,pieza,4,4,11,0.3,0,2.7,0.4,0,0.1,5.9,0.1,55.2,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Hongos crudos,1,taza,70,63,17,2,0.3,2.8,1.6,0,1.9,13.2,2.7,233.1,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Huazontle, 1/2,taza,40,40,24,1.8,0.3,4.8,1.1,50.4,18,ND,2.4,ND,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Huitlacoche cocido, 1/3,taza,66,66,20,0.8,0.1,4.1,1.2,0,2.6,ND,0.3,107.5,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Ibes frescos,30,g,30,17,22,1.7,0,3.6,0.5,7.2,2.6,ND,0.2,107.3,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Jícama picada, 1/2,taza,60,60,23,0.4,0.1,5.3,2.9,0.6,12.1,7.2,0.4,90,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Jitomate,120,g,120,113,20,1,0.2,4.4,1.4,47.4,14.3,16.9,0.3,267.3,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Jitomate bola,1,pieza,123,108,19,1,0.2,4.2,1.3,45.5,13.7,16.2,0.3,256.5,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Jitomate cereza,4,pieza,100,95,17,0.8,0.2,3.7,1.1,39.9,12.1,14.3,0.3,225.2,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Jitomate deshidratado,5,pieza,10,10,23,1.5,0.5,4.3,2,5,5,0,0.5,0,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Jitomate guaje o saladet,2,pieza,130,124,22,1.1,0.2,4.8,1.5,51.9,15.7,18.5,0.3,292.7,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Jitomate verde,1,pieza,123,123,28,1.5,0.2,6.3,1.4,39.4,29,11,0.6,251,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Jitomatillo,70,g,70,60,21,0.9,0.1,4.3,0.9,150.5,51.2,5.4,3.6,124.6,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Jugo de tomate, 1/2,taza,122,122,21,0.9,0.1,5.1,0.5,27.9,22.2,24.3,0.5,278.2,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Jugo de verduras, 1/2,taza,121,121,23,0.8,0.1,5.5,1,94.4,33.5,25.4,0.5,233.5,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Jugo de zanahoria, 1/4,taza,59,59,24,0.6,0.1,5.5,0.5,564,5,2.4,0.3,172.2,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Lechuga,3,taza,141,135,23,1.7,0.4,4.5,2.8,392.5,32.5,184.1,1.3,334.3,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Lengua de vaca,110,g,110,99,27,2,0.7,3.2,0.8,198,47.5,ND,2.4,386.1,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Lenteja germinada cocida, 1/4,taza,19,19,19,1.7,0.1,4.1,ND,0.4,2.4,12.9,0.6,54.7,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Malva,100,g,100,85,34,4.1,0.5,3.3,0.8,255,29.8,ND,1.7,ND,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Mezcla de verdur congelada cocida sin sal, 1/2,taza,46,46,30,1.3,0.1,4.6,2,97.4,1.5,8.6,0.4,76.9,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Morillas deshidratadas,10,g,10,10,27,3.2,0.4,4.4,2.5,0,3,21,4.3,370,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Morillas frescas,110,g,110,94,25,3,0.4,4.1,2.3,0,2.8,19.6,4,346,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Nabo cocido,150,g,150,99,22,0.7,0.1,5,2,0,11.5,8.9,0.2,175.2,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Nopal cocido,1,taza,149,149,22,2,0.1,4.9,3,32.8,7.9,4.5,0.7,291,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Nopal crudo,2,pieza,140,134,22,1.8,0.1,4.5,3.2,30.9,12.5,4,0.8,345.4,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Nopal crudo de cambray,4,pieza,100,100,27,1.7,0.3,2.9,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Palmito enlatado,1,pieza,33,33,30,0.8,0.2,1.5,0.8,0,2.6,12.9,1,58.4,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Papaloquelite crudo,2,taza,120,108,24,1.9,0.3,3.1,1,69.7,20.5,ND,2.6,ND,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Papilla de verduras mixtas, 1/3,frasco,43,43,19,0.5,0,4.1,0.6,58.3,1.3,3.4,0.1,51.9,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Pepinillos crudos, 1/3,taza,80,80,23,1.1,1,3.3,0,0,0,0,2.1,0,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Pepinillos dulces,1,cucharada,15,15,20,0.1,0.1,5.3,0.2,2,0,0,0.1,4,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Pepino con cáscara rebanado,1,taza,104,104,16,0.7,0.1,3.8,0.5,5.2,2.9,7.3,0.3,152.9,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Perejil crudo picado,1,taza,60,60,22,1.8,0.5,3.8,2,252.6,80,91.2,3.7,332.4,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Pimiento amarillo crudo chico,1,pieza,75,64,17,0.7,0.1,4,0.6,6.4,116.9,16.6,0.3,135,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Pimiento cocido, 1/2,taza,68,68,19,0.6,0.1,4.6,0.8,40,51,11,0.3,113,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Pimiento fresco,1,taza,60,60,17,0.5,0.1,3.8,1.1,38.4,54,13.2,0.3,106.8,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Pimiento rojo crudo chico,1,pieza,75,64,17,0.7,0.1,4,0.6,100.1,81.4,29.3,0.3,134.5,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Pimiento verde crudo chico,1,pieza,75,64,17,0.7,0.1,4,0.6,11.5,51.3,6.4,0.2,111.6,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Poro crudo, 1/4,taza,40,32,21,0.5,0.1,4.5,1.2,26.6,3.5,20.5,0.7,57.6,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Puerro crudo, 1/4,pieza,22,22,14,0.3,0.1,3.2,0.9,18.5,2.7,14.2,0.5,40.1,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Puerro hervido sin sal, 1/2,pieza,62,62,19,0.5,0.1,4.7,0.6,25.4,2.6,14.9,0.7,53.9,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Puré de tomate enlatado, 1/4,taza,63,63,24,1,0.1,5.6,1.5,16.3,6.6,6.9,1.1,274.4,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Quelite crudo,80,g,80,66,26,3.1,0.3,2.6,0.8,213.2,26.2,ND,2.4,400.8,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Rábano crudo rebanado,1,taza,116,104,17,0.7,0.1,3.5,1.7,0,15.5,26.1,0.4,243.3,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Romeritos crudos,120,g,120,72,26,2.6,0.1,3.5,0.7,112,2.9,ND,1.8,ND,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Salsa de chile, 1/2,taza,115,115,28,1.2,0.2,5.2,2.8,4.6,2.3,0,0.6,234.6,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Salsifí,35,g,35,23,18,0.3,0,4,0.4,0,1.8,ND,0.2,86.5,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Semilla de guaje verde,65,g,65,29,28,2.5,0.2,4,0.5,2.3,11.7,ND,1.1,ND,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Setas cocidas, 1/2,taza,78,78,21,2.5,0.3,3.4,2,0,ND,ND,ND,ND,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Setas crudas,100,g,100,85,23,2.7,0.3,3.7,2.1,0,2.6,17.9,3.7,314.5,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Tomate verde,5,pieza,100,86,21,0.9,0.2,3.9,2.1,1.7,1.7,ND,0.4,175.4,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Tomatitos,75,g,75,65,26,2.3,0.1,4.1,0.8,112.6,29.7,ND,4.5,131.6,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Verdolaga cocida,1,taza,115,115,21,1.7,0.2,4.1,0.9,107,12.1,10.4,0.9,561.1,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Verdolaga cruda limpia,2,taza,192,192,31,2.5,0.2,6.6,1.5,126.7,40.3,23,3.8,948.5,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Verdura congelada cocida sin sal, 1/2,taza,46,46,30,1.3,0.1,4.6,2,97.4,1.5,8.6,0.4,76.9,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Xoconostle,3,pieza,102,71,18,0.1,0.3,3.7,1.6,1.4,15.7,ND,0.2,ND,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Yemitas (hongos) crudas,2,taza,160,160,27,4.8,1.7,6.4,3.6,0,6.1,ND,6,ND,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Yerbamora cruda,50,g,50,41,21,2,0.3,3.6,0.6,13.9,49.2,ND,3.7,ND,0,0,0,0,0,0,0,0,ND,ND,ND,Verduras
Zanahoria miniatura cruda,4,pieza,60,60,21,0.4,0.1,4.9,1.7,414,1.6,16.2,0.5,142.2,0,0,0,0,0,0,0,0,0,47,2.303,Verduras
Zanahoria picada cruda, 1/2,taza,64,64,26,0.6,0.2,4.3,1.8,534.4,3.8,12.2,0.2,204.8,0,0,0,0,0,0,0,0,0,47,2.021,Verduras
Zanahoria rallada cruda, 1/2,taza,50,50,23,0.5,0.1,4.1,1.5,459.3,3.2,10.5,0.2,176,0,0,0,0,0,0,0,0,0,47,1.927,Verduras
Agua de coco,1 1/2,taza,360,360,65,1.1,0.7,16.9,0,0,7.2,0,4.3,529.2,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Albaricoque en almibar, 1/4,taza,65,65,54,0.4,0.1,13.8,1.8,94.3,2,1.3,0.2,92.3,0,0,0,0,0,0,0,0,12,ND,ND,Frutas
Albaricoque en mitades enlatados en jugo, 1/2,taza,122,122,59,0.8,0.1,15.1,2,103.5,6,2.5,0.4,201.5,0,0,0,0,0,0,0,0,13.1,ND,ND,Frutas
Albaricoque en mitades enlatados en agua,1,taza,227,227,61,1.6,0.4,14.5,3.6,167,7,5.1,0.7,349,0,0,0,0,0,0,0,0,10.9,ND,ND,Frutas
Anona,130,g,130,59,59,1,0.4,14.7,2,0,5.3,0,0.4,223.5,0,0,0,0,0,0,0,0,0,ND,ND,Frutas
Arándano fresco,1 1/2,taza,150,147,68,0.6,0.2,17.9,6.8,7.4,25,8.8,0.7,129.4,0,0,0,0,0,0,0,0,5.9,ND,ND,Frutas
Arándano seco con azúcar, 1/2,taza,5,5,51,0,0.3,13.6,1,0,0,0,0.1,6.5,0,0,0,0,0,0,0,0,10.7,ND,ND,Frutas
Blueberries, 3/4,taza,109,107,61,0.7,0.4,15.4,2.6,0,13.9,6.4,0.2,94.9,0,0,0,0,0,0,0,0,10.6,ND,ND,Frutas
Blueberries congeladas, 3/4,taza,116,116,59,0.5,0.8,14.2,3.2,1.5,9,8.1,0.2,63,0,0,0,0,0,0,0,0,9.8,ND,ND,Frutas
